index,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,category,TasterName,TastingDate,Country,Price,QuantitySold,ProduceDate,Sequence Tasting
4116,7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6,white,David,9/30/2021,Italy,87.64,15,12/26/2004,685
4120,6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7,white,David,12/20/2020,Italy,90.3,64,9/9/2005,686
4132,6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5,white,David,6/3/2021,Italy,63.38,2,4/6/2005,687
4135,6.5,0.23,0.25,17.3,0.046,15,110,0.99828,3.15,0.42,9.2,6,white,David,5/15/2022,Argentina,33.63,22,10/23/2005,688
4151,6.6,0.36,0.52,11.3,0.046,8,110,0.9966,3.07,0.46,9.4,5,white,David,9/9/2020,Australia,47.9,10,4/18/2018,689
4158,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,white,David,3/4/2020,Italy,13.55,76,9/17/2000,690
4161,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,6,white,David,11/2/2021,Argentina,63.25,2,4/2/2009,691
4162,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,5,white,David,2/23/2022,Argentina,14.62,43,6/4/2010,692
4169,6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5,white,David,6/13/2022,Argentina,89.62,68,1/20/2008,693
4171,7,0.14,0.28,1.3,0.026,10,56,0.99352,3.46,0.45,9.9,5,white,David,2/20/2020,France,40.41,67,7/10/2011,694
4176,6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5,white,David,3/25/2022,France,10.5,88,1/10/2008,695
4184,6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7,white,David,11/19/2022,Spain,21.77,54,11/8/2014,696
4191,7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5,white,David,1/19/2021,Spain,84.07,54,5/17/2012,697
4201,6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6,white,David,11/18/2021,Spain,14.8,81,11/3/2012,698
4204,7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12,6,white,David,7/16/2022,Australia,68.15,63,9/28/2003,699
4219,6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5,white,David,8/3/2022,Italy,67.27,91,11/5/2010,700
4220,6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5,white,David,9/17/2022,France,97.11,5,10/19/2007,701
4235,7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5,white,David,6/23/2020,Argentina,32.91,81,7/12/2006,702
4240,6.1,0.15,0.35,15.8,0.042,55,158,0.99642,3.24,0.37,10.6,5,white,David,1/10/2020,Spain,24.34,43,5/3/2000,703
4244,6.7,0.12,0.3,5.2,0.048,38,113,0.99352,3.33,0.44,10.1,7,white,David,8/20/2021,USA,29.86,63,6/5/2001,704
4245,5.7,0.18,0.36,1.2,0.046,9,71,0.99199,3.7,0.68,10.9,7,white,David,12/30/2020,Argentina,54.36,52,10/1/2005,705
4253,6.9,0.4,0.22,5.95,0.081,76,303,0.99705,3.4,0.57,9.4,5,white,David,8/27/2020,France,40.08,73,2/19/2010,706
4259,6.7,0.33,0.34,6.6,0.067,35,156,0.99542,3.11,0.48,9.3,6,white,David,8/26/2021,USA,72.93,91,8/30/2017,707
4260,7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6,white,David,11/1/2021,Spain,54.68,80,2/24/2002,708
4269,5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7,white,David,12/22/2022,France,89.86,30,6/10/2003,709
4275,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,6,white,David,12/27/2022,France,52.54,82,3/14/2004,710
4277,7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5,white,David,7/6/2020,Spain,56.31,83,4/21/2001,711
4278,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6,white,David,10/19/2022,Spain,35.66,71,9/29/2009,712
4281,7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6,white,David,9/26/2021,Australia,59.93,99,12/2/2007,713
4284,7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7,white,David,12/18/2020,France,38.38,2,3/23/2003,714
4288,7.6,0.18,0.28,7.1,0.041,29,110,0.99652,3.2,0.42,9.2,6,white,David,1/26/2022,Italy,19.48,63,6/9/2004,715
4297,6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6,white,David,1/8/2021,Argentina,97.8,8,9/10/2006,716
4299,6.5,0.46,0.31,5,0.027,15,72,0.99165,3.26,0.6,11.5,7,white,David,6/1/2020,Australia,35.69,73,11/19/2014,717
4302,6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5,white,David,6/12/2021,Australia,15.93,100,12/4/2012,718
4314,7.8,0.25,0.28,7.2,0.04,46,179,0.99541,3.14,0.6,10.1,6,white,David,6/5/2022,Australia,67.75,4,7/30/2002,719
4318,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,white,David,5/19/2021,USA,64.11,77,5/7/2018,720
4320,8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5,white,David,4/25/2021,USA,30.12,36,12/22/2008,721
4321,7.6,0.4,0.27,5.2,0.03,32,101,0.99172,3.22,0.62,12.3,7,white,David,2/25/2020,France,49.84,51,3/5/2006,722
4323,7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6,white,David,10/3/2022,Argentina,87.84,5,4/3/2015,723
4325,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6,white,David,5/24/2020,USA,31.14,5,4/15/2018,724
4332,6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7,white,David,7/24/2020,Argentina,30.24,18,2/7/2008,725
4334,6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,white,David,3/24/2021,Argentina,64.81,31,2/12/2007,726
4336,7.4,0.2,0.28,9.1,0.047,29,95,0.99532,3.16,0.47,9.8,7,white,David,10/28/2020,Spain,95.95,7,1/2/2016,727
4337,6.9,0.615,0.42,12,0.067,24,131,0.99727,3.19,0.34,9.3,5,white,David,5/21/2022,Italy,25.47,1,11/6/2002,728
4341,8,0.23,0.28,2.7,0.048,49,165,0.9952,3.26,0.72,9.5,6,white,David,6/29/2022,Italy,84.53,16,11/8/2006,729
4342,6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,white,David,4/4/2021,Argentina,81.49,83,12/6/2006,730
4344,6.7,0.44,0.22,4.3,0.032,19,99,0.99015,3.26,0.53,12.8,7,white,David,6/9/2022,Australia,83.65,39,8/28/2014,731
4354,6.6,0.34,0.18,6.4,0.082,47,240,0.9971,3.42,0.48,9.2,5,white,David,3/26/2021,Australia,96.08,57,4/12/2005,732
4375,7,0.36,0.32,10.5,0.045,35,135,0.9935,3.09,0.33,11.6,8,white,David,9/29/2020,France,86.97,55,9/27/2015,733
4384,6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5,white,David,4/1/2021,Spain,34.96,73,6/8/2012,734
4390,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,white,David,12/15/2021,Italy,96.91,9,1/28/2008,735
4394,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,white,David,12/12/2021,Australia,48.07,48,7/9/2002,736
4399,6.6,0.25,0.51,8,0.047,61,189,0.99604,3.22,0.49,9.2,5,white,David,1/22/2021,Argentina,40.63,5,9/15/2002,737
4403,6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8,white,David,9/11/2021,Italy,71.87,23,6/7/2006,738
4406,7.5,0.18,0.72,9.6,0.039,53,151,0.99802,3.03,0.46,8.9,5,white,David,6/11/2022,France,85.89,77,7/7/2008,739
4407,7,0.27,0.48,6.1,0.042,60,184,0.99566,3.2,0.5,9.4,6,white,David,5/18/2021,Australia,28.13,23,10/29/2007,740
4415,7.2,0.17,0.41,1.6,0.052,24,126,0.99228,3.19,0.49,10.8,5,white,David,6/18/2020,Italy,25.34,70,12/15/2015,741
4421,6.5,0.2,0.24,9.2,0.044,25,150,0.99502,3.22,0.44,10.5,5,white,David,7/26/2021,USA,34.63,71,6/10/2005,742
4430,6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5,white,David,9/24/2020,Spain,74.44,48,8/20/2005,743
4431,6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6,white,David,12/2/2020,USA,88.78,75,12/2/2011,744
4440,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6,white,David,7/12/2021,France,93.06,10,3/15/2010,745
4450,7.3,0.23,0.34,9.3,0.052,19,86,0.99574,3.04,0.56,10,5,white,David,10/23/2021,Spain,10.5,48,7/23/2001,746
4461,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6,white,David,2/24/2022,USA,53.93,63,6/10/2003,747
4463,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,white,David,4/17/2020,USA,39.58,98,3/8/2008,748
4464,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6,white,David,7/1/2020,USA,46.4,97,3/29/2003,749
4470,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,6,white,David,11/27/2021,USA,44.89,49,12/26/2018,750
4509,6.1,0.37,0.2,7.6,0.031,49,170,0.99558,3.22,0.48,9.5,5,white,David,1/27/2021,Australia,80.25,33,9/30/2004,751
4511,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,7,white,David,1/21/2022,Spain,52.33,93,11/26/2000,752
4514,6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6,white,David,9/6/2021,Spain,35.12,75,2/15/2000,753
4518,6.4,0.16,0.32,8.75,0.038,38,118,0.99449,3.19,0.41,10.7,5,white,David,6/22/2022,Argentina,15.4,100,1/23/2004,754
4519,7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4,white,David,8/28/2022,Spain,50.95,67,3/16/2017,755
4521,6.5,0.44,0.47,5.45,0.014,44,137,0.98984,3.13,0.32,13,8,white,David,8/28/2021,Spain,56.98,92,6/17/2013,756
4524,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,white,David,5/24/2022,Italy,20.16,98,3/29/2005,757
4533,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,white,David,6/1/2022,Italy,51.58,67,9/19/2002,758
4536,7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,white,David,5/19/2020,France,69.5,68,10/10/2011,759
4540,7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5,white,David,4/25/2021,France,81.84,47,10/26/2013,760
4545,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,white,David,6/3/2020,Italy,41.71,14,9/20/2007,761
4549,6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,white,David,8/9/2020,Australia,90.45,83,2/4/2002,762
4551,6.1,0.27,0.25,1.8,0.041,9,109,0.9929,3.08,0.54,9,5,white,David,6/8/2021,Spain,46.73,13,11/22/2002,763
4554,7.4,0.35,0.24,6,0.042,28,123,0.99304,3.14,0.44,11.3,5,white,David,12/26/2020,Australia,70.77,93,8/4/2010,764
4558,7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7,white,David,10/23/2022,Spain,53.51,83,1/11/2000,765
4563,5.8,0.19,0.24,1.3,0.044,38,128,0.99362,3.77,0.6,10.6,5,white,David,8/16/2020,France,45.88,59,1/8/2002,766
4566,6.6,0.23,0.3,14.9,0.051,33,118,0.99835,3.04,0.54,9,6,white,David,4/7/2022,USA,59.41,80,1/28/2001,767
4570,7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,5,white,David,8/20/2021,France,53.76,74,1/24/2015,768
4573,7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6,white,David,7/25/2022,Italy,98.06,59,4/6/2014,769
4577,6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6,white,David,11/13/2020,Spain,80.17,62,4/21/2017,770
4580,8.5,0.23,0.28,11.1,0.033,30,97,0.99507,3.03,0.39,10.5,7,white,David,11/24/2021,Italy,35.21,32,3/9/2002,771
4586,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,7,white,David,10/18/2020,Italy,16.35,40,3/22/2013,772
4589,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,white,David,3/11/2021,Italy,66.41,89,3/1/2013,773
4595,6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8,white,David,2/20/2020,Spain,35.84,45,2/19/2015,774
4599,6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,white,David,8/22/2020,France,12.56,8,12/24/2007,775
4607,5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7,white,David,10/1/2020,Italy,46.27,41,5/6/2004,776
4609,6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5,white,David,4/7/2020,Argentina,17.61,12,1/21/2013,777
4619,8.4,0.32,0.35,11.7,0.029,3,46,0.99439,3.02,0.34,11.8,6,white,David,4/20/2021,Argentina,73.06,30,6/13/2012,778
4620,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4,white,David,2/24/2021,USA,82.08,11,7/26/2000,779
4630,5.8,0.19,0.25,10.8,0.042,33,124,0.99646,3.22,0.41,9.2,6,white,David,6/9/2022,USA,40.07,67,2/3/2014,780
4632,6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6,white,David,3/5/2020,France,47.59,24,10/2/2003,781
4635,6.8,0.29,0.34,3.5,0.054,26,189,0.99489,3.42,0.58,10.4,5,white,David,9/26/2021,France,38.03,98,3/9/2002,782
4648,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,white,David,3/11/2021,France,31.87,36,6/5/2009,783
4649,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4,white,David,12/4/2020,Italy,71.61,9,6/23/2001,784
4650,7.5,0.33,0.38,8.7,0.126,49,199,0.99711,2.98,0.57,9.4,5,white,David,7/29/2020,USA,66.16,27,8/28/2006,785
4670,6.5,0.36,0.38,10.2,0.028,20,82,0.99274,3.1,0.43,12.1,7,white,David,4/30/2021,Australia,63.92,28,7/20/2001,786
4671,7.5,0.25,0.47,4.1,0.041,95,163,0.99184,2.92,0.59,11.3,6,white,David,3/19/2022,Spain,37.67,3,10/14/2017,787
4693,9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6,white,David,9/2/2021,Australia,40.42,45,3/6/2004,788
4696,6.6,0.78,0.5,1.5,0.045,30,133,0.99104,3.25,0.48,11.7,5,white,David,4/28/2020,Australia,86.17,25,8/12/2009,789
4699,6.7,0.14,0.51,4.3,0.028,57,124,0.99176,2.91,0.54,10.7,7,white,David,9/19/2020,Australia,19.07,42,2/6/2010,790
4712,6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6,white,David,7/22/2020,USA,88.38,100,11/10/2008,791
4717,5.9,0.28,0.39,1.4,0.031,47,147,0.98836,3.08,0.64,12.9,7,white,David,5/27/2022,Argentina,82.04,93,3/26/2004,792
4721,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,white,David,1/28/2021,Italy,46.39,70,5/15/2001,793
4725,7.2,0.17,0.37,6.9,0.059,47,128,0.99322,3.08,0.46,11,7,white,David,10/5/2021,Australia,23.5,38,6/7/2012,794
4738,6.2,0.19,0.29,4.3,0.045,33,126,0.99658,3.18,0.42,9.3,6,white,David,2/10/2021,Spain,47.75,53,7/3/2013,795
4741,7.8,0.17,0.5,1.3,0.045,35,140,0.9904,3.16,0.4,12,6,white,David,10/30/2022,Spain,74.45,7,7/25/2004,796
4745,6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6,white,David,2/20/2022,France,78.22,13,6/3/2004,797
4749,5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14,6,white,David,10/3/2022,Italy,53.58,66,10/8/2006,798
4759,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,6,white,David,4/28/2022,Spain,81.24,85,3/3/2018,799
4763,7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6,white,David,11/8/2020,France,61.82,36,3/11/2011,800
4764,6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6,white,David,10/16/2022,Italy,35.31,14,3/4/2005,801
4770,7.3,0.2,0.39,2.3,0.048,24,87,0.99044,2.94,0.35,12,6,white,David,2/6/2022,France,52.38,19,7/9/2012,802
4779,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,white,David,2/23/2021,France,79.77,23,1/10/2005,803
4780,8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6,white,David,9/30/2021,Italy,93.52,56,10/18/2010,804
4782,6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6,white,David,8/9/2021,USA,50.94,14,8/6/2004,805
4790,7.6,0.24,0.44,3.8,0.037,49,146,0.9911,3.06,0.37,11.6,6,white,David,11/20/2021,Australia,75.31,58,4/24/2000,806
4802,6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7,white,David,5/29/2021,Italy,29.8,21,4/20/2017,807
4806,6.8,0.21,0.42,1.2,0.045,24,126,0.99234,3.09,0.87,10.9,6,white,David,10/3/2021,Argentina,57.74,60,4/4/2010,808
4811,6.4,0.24,0.32,0.95,0.041,23,131,0.99033,3.25,0.35,11.8,5,white,David,9/13/2022,Argentina,64.78,98,11/9/2015,809
4812,7.5,0.18,0.45,4.6,0.041,67,158,0.9927,3.01,0.38,10.6,6,white,David,3/26/2022,Argentina,23.58,48,3/19/2000,810
4827,6.8,0.27,0.42,7.3,0.054,58,200,0.99556,3.12,0.49,9.4,6,white,David,11/16/2022,USA,55.64,29,4/4/2010,811
4830,6.8,0.21,0.37,7,0.038,27,107,0.99206,2.98,0.82,11.5,6,white,David,8/26/2022,Australia,55.77,71,1/16/2008,812
4834,5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6,white,David,2/20/2021,USA,55.73,17,7/29/2011,813
4841,7,0.29,0.35,1.4,0.036,42,109,0.99119,3.31,0.62,11.6,6,white,David,10/5/2021,Italy,54.27,16,5/29/2010,814
4845,6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6,white,David,1/20/2021,USA,10.8,87,4/18/2012,815
4859,7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6,white,David,8/24/2020,Spain,72.39,79,3/13/2015,816
4872,6.4,0.23,0.32,1.9,0.038,40,118,0.99074,3.32,0.53,11.8,7,white,David,4/3/2022,Australia,53.71,52,6/23/2008,817
4877,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,5,white,David,6/28/2021,France,34.6,4,11/11/2012,818
4888,6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5,white,David,3/25/2020,Argentina,57.93,21,6/7/2018,819
4890,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,white,David,8/16/2022,USA,17,58,4/14/2003,820
4899,7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5,white,David,7/4/2022,Spain,62.4,79,6/25/2002,821
4903,6,0.32,0.3,1.9,0.033,41,142,0.98912,3.29,0.42,12.8,7,white,David,2/9/2021,USA,35.35,74,12/27/2006,822
4904,6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7,white,David,11/14/2022,France,44.75,41,7/21/2006,823
4922,7.1,0.17,0.31,1.6,0.037,15,103,0.991,3.14,0.5,12,6,white,David,4/26/2020,Italy,25.7,23,8/17/2016,824
4935,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,white,David,2/12/2021,Argentina,66.92,90,8/17/2000,825
4936,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6,white,David,2/5/2020,Australia,49.17,58,7/8/2008,826
4942,6.9,0.36,0.28,13.55,0.048,51,189,0.99782,3,0.6,9.5,7,white,David,12/13/2021,Spain,66.41,53,4/14/2002,827
4948,6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,white,David,9/12/2020,Spain,20.82,37,8/18/2001,828
4954,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,white,David,11/8/2022,Australia,43.17,94,12/9/2018,829
4957,6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,white,David,8/24/2021,Italy,89.44,12,1/3/2000,830
4968,7,0.22,0.28,10.6,0.039,32,117,0.99355,3.05,0.55,11.5,7,white,David,3/4/2021,USA,75.07,78,5/16/2004,831
4969,6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6,white,David,11/6/2020,Italy,43.98,86,5/15/2016,832
4971,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6,white,David,6/25/2020,France,94.41,98,10/29/2012,833
4972,6.9,0.28,0.24,2.1,0.034,49,121,0.98882,2.98,0.43,13.2,7,white,David,2/23/2022,Spain,89.68,73,11/22/2018,834
4973,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5,white,David,6/13/2021,France,72.58,9,3/16/2007,835
4979,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7,white,David,11/3/2021,USA,83.03,98,6/5/2014,836
4984,6.4,0.32,0.31,1.9,0.037,34,126,0.99,3.06,0.45,11.8,6,white,David,4/3/2021,USA,38.66,95,7/6/2010,837
4985,6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8,white,David,4/2/2021,France,28.12,25,1/18/2017,838
4987,8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6,white,David,9/3/2022,Australia,52.96,73,3/14/2009,839
4996,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,6,white,David,4/4/2020,USA,91.76,23,6/8/2009,840
5000,8.8,0.19,0.3,5,0.028,34,120,0.99242,2.94,0.47,11.2,5,white,David,10/6/2021,Italy,96.35,82,3/10/2001,841
5003,5.8,0.18,0.28,1.3,0.034,9,94,0.99092,3.21,0.52,11.2,6,white,David,11/1/2020,Australia,10.65,30,7/12/2007,842
5005,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,white,David,7/16/2022,France,92.75,57,10/31/2004,843
5018,6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7,white,David,9/15/2020,Australia,60.1,71,12/17/2017,844
5019,7.6,0.28,0.49,20.15,0.06,30,145,1.00196,3.01,0.44,8.5,5,white,David,5/11/2020,France,80.64,21,1/27/2017,845
5025,7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6,white,David,6/15/2022,France,41.04,54,2/18/2017,846
5034,6.5,0.24,0.28,1.1,0.034,26,83,0.98928,3.25,0.33,12.3,6,white,David,2/16/2021,Australia,37.34,18,4/27/2014,847
5035,6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,white,David,11/5/2020,Argentina,98.58,10,3/11/2016,848
5039,6.8,0.17,0.32,1.4,0.04,35,106,0.99026,3.16,0.66,12,5,white,David,4/17/2022,France,83.48,2,7/24/2004,849
5043,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,5,white,David,7/7/2022,France,57.79,29,2/22/2015,850
5044,6.6,0.15,0.32,6,0.033,59,128,0.99192,3.19,0.71,12.1,8,white,David,6/22/2022,Italy,89.01,25,2/28/2010,851
5045,7.3,0.34,0.3,9.4,0.057,34,178,0.99554,3.15,0.44,10.4,6,white,David,9/16/2021,Italy,56.49,56,2/12/2009,852
5046,6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6,white,David,7/1/2021,Argentina,93.77,29,4/19/2000,853
5054,7.3,0.23,0.24,0.9,0.031,29,86,0.98926,2.9,0.38,12.2,6,white,David,1/13/2020,Italy,44.01,25,8/16/2002,854
5061,6.8,0.17,0.34,2,0.04,38,111,0.99,3.24,0.45,12.9,6,white,David,1/6/2022,Argentina,99.54,2,7/9/2001,855
5068,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6,white,David,11/28/2022,Spain,13.9,70,4/19/2018,856
5071,6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6,white,David,9/7/2020,Argentina,83.28,92,12/28/2001,857
5074,6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6,white,David,6/21/2022,Italy,59.92,9,7/26/2007,858
5078,5.9,0.32,0.28,4.7,0.039,34,94,0.98964,3.22,0.57,13.1,7,white,David,6/13/2020,Argentina,25.96,93,6/14/2018,859
5079,6.5,0.3,0.27,4,0.038,37,97,0.99026,3.2,0.6,12.6,8,white,David,10/14/2020,Italy,34.66,79,8/27/2000,860
5083,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,8,white,David,6/19/2020,Spain,87.53,34,12/22/2015,861
5095,6,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7,white,David,1/29/2020,France,69.75,12,7/1/2001,862
5101,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,5,white,David,7/3/2020,Argentina,70.36,39,3/25/2012,863
5103,6.5,0.16,0.34,1.4,0.029,29,133,0.99108,3.33,0.64,11.5,7,white,David,12/4/2022,France,69.01,88,2/1/2005,864
5104,6,0.2,0.32,3,0.031,26,118,0.99134,3.38,0.68,11.2,7,white,David,6/14/2022,Argentina,67.94,5,5/10/2001,865
5111,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6,white,David,7/16/2022,Australia,63.08,23,8/28/2001,866
5127,6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4,white,David,4/14/2020,Spain,59.77,80,12/22/2000,867
5131,7.2,0.23,0.46,6.4,0.036,17,85,0.99279,3.1,0.78,11.7,6,white,David,2/5/2020,Spain,27.17,36,4/5/2012,868
5132,6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6,white,David,12/20/2022,Spain,99.92,38,11/24/2013,869
